ID	B_cells_naive_CIBERSORT	B_cells_memory_CIBERSORT	Plasma_cells_CIBERSORT	T_cells_CD8_CIBERSORT	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_activated_CIBERSORT	T_cells_follicular_helper_CIBERSORT	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_gamma_delta_CIBERSORT	NK_cells_resting_CIBERSORT	NK_cells_activated_CIBERSORT	Monocytes_CIBERSORT	Macrophages_M0_CIBERSORT	Macrophages_M1_CIBERSORT	Macrophages_M2_CIBERSORT	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_activated_CIBERSORT	Mast_cells_resting_CIBERSORT	Mast_cells_activated_CIBERSORT	Eosinophils_CIBERSORT	Neutrophils_CIBERSORT	P-value_CIBERSORT	Correlation_CIBERSORT	RMSE_CIBERSORT
GSM2449668	0.0304290509688808	0	0	0.125777851679881	0.129079547386201	0	0.053777456992581	0	0.00467746817612408	0	0.142095173767345	0	0.137181375974523	0	0	0	0	0.00242962636143198	0.00829670715366084	0	0	0.366255741539371	0	0.826137695470208	0.607412059439242
GSM2449669	0.0266145241038202	0	0.000763892796793069	0.0956847501973205	0.144627250124453	0	0.0345594067792159	0	0	0.0443052675381932	0.137327750787006	0	0.216922181325647	0	0	0	0	0.00332344899430469	0.0047772260423495	0	0	0.291094301310897	0	0.830785389094556	0.613958803229972
GSM2449670	0.0232609361586178	0	0	0.185796270180891	0.169272005533571	0	0.0385582766318459	0	0.00127780737010907	0	0.106620980651205	0	0.152721665688761	0	0	0	0.000268491987360751	0.00661202768333104	0.0122658646821874	0	0	0.303345673432121	0	0.774081245550338	0.665990670285442
GSM2449671	0.0244252791831006	0	0.00014473814639163	0.131366671618304	0.13509579952003	0	0.0210036616253419	0	0.00275515164856201	0	0.0578747090672074	0	0.206349928086504	0	0	0	0	0	0.019798124090619	0	0	0.401185937013939	0	0.859087691535383	0.557518025701461
GSM2449672	0.0387997270606997	0	0.000419904736165254	0.0551746259687013	0.082881008022818	0	0.0389955697574068	0	0.00165144702881399	0	0.186175403017114	0	0.217098048122141	0	0	0	0	0	0	0	0	0.37880426628614	0	0.821437194009529	0.601057770853702
GSM2449673	0.0295344426383627	0	0.00319517563252913	0.226111563553865	0.152332180385147	0	0.0371299908873725	0	0.0279059113935897	0	0.130738245267183	0	0.107014149629493	0	0.00335982347474787	0	0.00821061619780245	0.00827660176213944	0.0019278876949328	0	0	0.264263411482836	0	0.773196620969037	0.671519744478896
GSM2449674	0.0287040128895248	0	0.00244843622366491	0.230349929651232	0.120454338684872	0	0.0447857989140155	0	0.00786524028541151	0	0.13869971376878	0	0.189652780675773	0	0	0	0.000535928804265834	0.00411644295255749	0.0130590379390347	0	0	0.219328339210869	0	0.802204106178088	0.654329896026585
GSM2449675	0.0402325105316443	0	0	0.0790467222928611	0.0942944212707566	0	0.0426929403049216	0	0	0.00988822903570614	0.140080711308173	0	0.159757881298031	0	0	0	0	0.00032997440464293	0.00222954816508869	0	0	0.431447061388174	0	0.861882324410015	0.5486514493724
GSM2449676	0.00406807545494319	0.00152813810383148	0.00150868353221681	0.164139996526138	0.144733982600041	0	0.0387312074258688	0	0.0290278286423841	0	0.206589143875261	0	0.0873831974570617	0	0.00376143044059221	0	0.00844787828114199	0	0	0	0	0.310080437660519	0	0.818073499716657	0.620001430147617
GSM2449677	0.0564944004700458	0	0	0.173759809787213	0.165775433396386	0	0.0490633204603513	0	0.026900017437525	0	0.139563186883702	0	0.0946041937581866	0	0.00294981454972329	0	0.00602374053966094	0.00230194670286802	0.00593544049190485	0	0	0.276628695522433	0	0.790792717287126	0.65864197230012
GSM2449678	0	0	0.00666432484869339	0.120269714539817	0.0665453481894969	0	0.0318495069471945	0	0	0	0.167775275553183	0	0.219147999969455	0	0	0	0	0.00204217473326537	0	0	0	0.385705655218895	0	0.83775056690966	0.580178304379477
GSM2449679	0.00821319652484814	0.00449407886047387	0.000468856243367842	0.143742662809524	0.100540624558867	0	0.0470170124620128	0	0.00816918875671113	0	0.205181619264657	0	0.125790055641495	0	0	0	0	0.00525127753210009	0	0	0	0.351131427345943	0	0.784435031045342	0.64521558124099
GSM2449680	0.0178896561984463	0	0.00027489735467799	0.128772319883871	0.111582419080244	0	0.0778083204282529	0	0.00521662145625606	0	0.134839405044121	0	0.16278947369259	0	0	0	0	0.000185302845274479	0.00741232267188501	0	0	0.353229261344382	0	0.847871336514858	0.588090720407817
GSM2449682	0.00767090645575411	0.00459720847377402	0.00386061940571161	0.112312558931483	0.098895067654211	0	0.025674813739618	0	0	0	0.0656093193809225	0	0.174016076747711	0.0031069847711136	0	0	0	0	0.00884009257990883	0	0	0.495416351859792	0	0.839010374088958	0.559703299151818
GSM2449683	0.0346338602240093	0	0.00180384097010342	0.0923456434906785	0.0752750738939708	0	0.0413605114215189	0	0	0.062957701967076	0.134049336374655	0	0.145138852364879	0	0	0.00331931039175239	0	0.00444260495661944	0.00262990673109602	0	0	0.402043357213642	0	0.808240087874634	0.614404147726339
GSM2449684	0.0356908224877389	0	0.00263763387467211	0.0646463236221152	0.156684942344859	2.40028110332399e-06	0.0355006056753358	0	0	0	0.13719714011442	0	0.196450546852718	0	0	0	0	0.00216140524399896	0.0205169680160453	0	0	0.348511211486993	0	0.81837578517727	0.617681230189221
GSM2449685	0.0123824275405397	0.00355301867105217	0.00459875830723192	0.126226575825097	0.0226210669463301	0	0.0516447289749256	0	0	0	0.166474517965315	0	0.185005960366976	0.00113112801075951	0	0	0	0.00243642479976581	0.00650729745811069	0	0.00643666290103337	0.410981432232862	0	0.82877031067631	0.58799928842789
GSM2449686	0.0251968936876601	0.00345744318748994	0	0.0813740479333364	0.147896836871566	0	0.0344040436415521	0	0	0	0.181929802077971	0	0.15017361721185	0	0	0	0	0.00798705535637884	0.0075814803480156	0	0	0.35999877968418	0	0.817732738029812	0.614831120169846
GSM2449687	0.0330973418793012	0	0	0.0365702037889534	0.150512226059609	0	0.0573683876538273	0	0	0	0.208769832054653	0	0.158761723326352	0	0	0	0	0.00385710009277407	0.0145453642934597	0	0	0.336517820851071	0	0.789083770461371	0.647097249652944
GSM2449688	0.0185964750121133	0	0.0034258613768226	0.0937921606017454	0.0674133959001195	0	0.100727588183387	0	0	0.00296955824938555	0.200626847638515	0	0.115308535391442	0	0	0	0	0.00639736095530235	0.00906249014471852	0	0	0.381679726546449	0	0.836926476481206	0.592094194123996
